iter	Passed	Remaining
416	2931	67374
417	2938	67361
418	2945	67350
419	2952	67348
420	2959	67330
421	2965	67311
422	2972	67291
423	2979	67280
424	2985	67267
425	2992	67262
426	3000	67267
427	3007	67254
428	3014	67243
429	3020	67227
430	3027	67211
431	3034	67214
432	3041	67203
433	3049	67212
434	3056	67198
435	3062	67184
436	3069	67180
437	3076	67162
438	3082	67138
439	3089	67128
440	3097	67131
441	3104	67136
442	3111	67136
443	3119	67129
444	3126	67125
445	3133	67120
446	3140	67110
447	3147	67103
448	3154	67101
449	3161	67088
450	3167	67074
451	3174	67068
452	3181	67058
453	3189	67061
454	3195	67044
455	3202	67037
456	3209	67029
457	3216	67016
458	3223	67001
459	3230	66998
460	3237	66995
461	3245	66996
462	3251	66980
463	3258	66972
464	3265	66956
465	3272	66951
466	3279	66937
467	3285	66922
468	3292	66906
469	3299	66892
470	3305	66874
471	3312	66862
472	3318	66847
473	3325	66836
474	3333	66837
475	3340	66828
476	3346	66808
477	3353	66795
478	3359	66771
479	3366	66759
480	3372	66737
481	3379	66731
482	3386	66719
483	3393	66712
484	3399	66700
485	3406	66679
486	3412	66668
487	3419	66658
488	3427	66655
489	3433	66647
490	3441	66640
491	3447	66632
492	3455	66640
493	3462	66635
494	3469	66629
495	3477	66635
496	3484	66623
497	3491	66619
498	3498	66607
499	3505	66598
500	3511	66586
501	3519	66585
502	3526	66584
503	3533	66574
504	3540	66565
505	3547	66556
506	3553	66543
507	3560	66530
508	3567	66521
509	3574	66516
510	3581	66512
511	3588	66504
512	3596	66511
513	3603	66506
514	3611	66514
515	3618	66509
516	3626	66511
517	3633	66508
518	3640	66503
519	3647	66499
520	3655	66498
521	3662	66492
522	3668	66482
523	3676	66476
524	3683	66471
525	3690	66464
526	3697	66461
527	3704	66448
528	3710	66436
529	3717	66427
530	3725	66429
531	3731	66417
532	3738	66410
533	3745	66393
534	3752	66389
535	3759	66377
