iter	Logloss
0	0.6833663977
1	0.6743395658
2	0.6659540153
3	0.6580949793
4	0.6508873417
5	0.6444075534
6	0.638261086
7	0.6324242921
8	0.6271951277
9	0.6221778339
10	0.6178069993
11	0.6136248495
12	0.6094476618
13	0.6054893064
14	0.6019201944
15	0.5986881898
16	0.5957001691
17	0.5928937819
18	0.5904724414
19	0.5882153318
20	0.5856871663
21	0.5836630923
22	0.5815923314
23	0.5798752783
24	0.5781237576
25	0.576541032
26	0.5751690717
27	0.5738655629
28	0.5724792585
29	0.5712227014
30	0.5700638595
31	0.5689970399
32	0.567918569
33	0.5670541315
34	0.5662612707
35	0.5655322228
36	0.5645974098
37	0.5638421779
38	0.5631361111
39	0.5624933572
40	0.5618276979
41	0.5612264864
42	0.5607626561
43	0.5602192355
44	0.5597624868
45	0.5593912923
46	0.5590454653
47	0.5586673999
48	0.5582533183
49	0.5578671239
50	0.5575257042
51	0.5572820446
52	0.5569505587
53	0.5566527119
54	0.556329736
55	0.5560187689
56	0.5557432768
57	0.5554993875
58	0.5552485785
59	0.555022901
60	0.5547894695
61	0.5546357897
62	0.5544884797
63	0.5543221502
64	0.5542002188
65	0.5540522913
66	0.5538935171
67	0.5537887077
68	0.553705266
69	0.5535052314
70	0.5533476779
71	0.5531745752
72	0.5530934304
73	0.5529875806
74	0.5528858754
75	0.552811766
76	0.5527260259
77	0.5526264967
78	0.5525531746
79	0.5524661951
80	0.5523895487
81	0.5523203369
82	0.5521878324
83	0.55208937
84	0.5520279536
85	0.5519584476
86	0.551874821
87	0.5517907282
88	0.5517308686
89	0.5516852395
90	0.5516280564
91	0.5515680536
92	0.5515130593
93	0.5514352436
94	0.5513720689
95	0.5513240943
96	0.5512717164
97	0.5511872284
98	0.5511221582
99	0.5510705241
100	0.5510029431
101	0.550959073
102	0.5509268235
103	0.5508929258
104	0.5508561474
105	0.5507942154
106	0.5507595019
107	0.5507076472
108	0.5506585361
109	0.5506262319
110	0.5505816454
111	0.5505321743
112	0.5504859384
113	0.550462389
114	0.5504048677
115	0.5503331853
116	0.5503053974
117	0.5502504429
118	0.5502216916
119	0.5501724037
120	0.550122443
121	0.5500893935
122	0.5500287021
123	0.5499918435
124	0.549948296
125	0.5499012431
126	0.5498398409
127	0.54980943
128	0.5497840979
129	0.5497472416
130	0.5496906485
131	0.5496415699
132	0.5496156853
133	0.5495835382
134	0.5495411947
135	0.5494991837
136	0.5494808232
137	0.5494426585
138	0.549405361
139	0.5493806936
140	0.5493626178
141	0.5493315649
142	0.5493124051
143	0.54929935
144	0.5492772083
145	0.5492595488
146	0.5492430557
147	0.5491869417
148	0.549161592
149	0.5491382232
150	0.5491071491
151	0.5490939763
152	0.5490556708
153	0.5490275583
154	0.5489962132
155	0.5489637497
156	0.5489282003
157	0.5488821634
158	0.5488753076
159	0.5488605452
160	0.5488319264
161	0.5488031738
162	0.5487774512
163	0.5487433992
164	0.548686837
165	0.5486487206
166	0.5486070672
167	0.5485676546
168	0.5485475604
169	0.5485207197
170	0.548507089
171	0.5484724891
172	0.548454225
173	0.5484222372
174	0.5483885134
175	0.5483499546
176	0.548330021
177	0.5483037553
178	0.5482738201
179	0.5482548567
180	0.5482277175
181	0.5482072757
182	0.5481843069
183	0.5481571919
184	0.5481418852
185	0.5481256938
186	0.5480891295
187	0.5480653911
188	0.548048106
189	0.5480147958
190	0.5479793496
191	0.5479453668
192	0.5479183424
193	0.5478940708
194	0.5478761965
195	0.547849555
196	0.5478313763
197	0.5478056011
198	0.547789293
199	0.5477672188
200	0.5477364866
201	0.5476944707
202	0.5476828213
203	0.5476438405
204	0.5476240458
205	0.5475995055
206	0.5475675047
207	0.547544065
208	0.547522803
209	0.5474905951
210	0.5474716
211	0.5474530702
212	0.5474314434
213	0.5474044907
214	0.547383583
215	0.5473651411
216	0.5473568823
217	0.5473301226
218	0.5473021131
219	0.5472987852
220	0.5472777006
221	0.5472568938
222	0.5472249533
223	0.5472037814
224	0.5471739254
225	0.5471496408
226	0.5471327997
227	0.5471249206
228	0.5471152752
229	0.5470967202
230	0.5470764943
231	0.5470529241
232	0.5470372312
233	0.5470244155
234	0.5469711803
235	0.5469472625
236	0.546941368
237	0.5469256297
238	0.5469183203
239	0.5469006966
240	0.5468844801
241	0.5468682045
242	0.5468421915
243	0.5468287015
244	0.5467924192
245	0.5467635923
246	0.5467232944
247	0.5467044032
248	0.5466863061
249	0.5466416268
250	0.54660567
251	0.546592954
252	0.5465647027
253	0.5465430187
254	0.5465314308
255	0.5465167076
256	0.5465069656
257	0.5464782914
258	0.5464617312
259	0.5464400776
260	0.5464074611
261	0.5463960851
262	0.5463822495
263	0.5463660236
264	0.5463411184
265	0.5463122661
266	0.5462953355
267	0.5462782291
268	0.5462657315
269	0.5462454681
270	0.5462020244
271	0.5461496199
272	0.5461202247
273	0.5460745499
274	0.5460626909
275	0.5460523473
276	0.5460331497
277	0.5460133502
278	0.5459993056
279	0.5459940982
280	0.545970092
281	0.5459535073
282	0.5459360901
283	0.5459272745
284	0.5459031048
285	0.5458767024
286	0.5458343078
287	0.5458098409
288	0.5457529614
289	0.545726648
290	0.5457053943
291	0.5456950307
292	0.5456638468
293	0.5456212229
294	0.5455853298
295	0.5455563474
296	0.5455359043
297	0.5455252114
298	0.5455021638
299	0.5454774696
300	0.5454394314
301	0.5453977474
302	0.5453655542
303	0.5453243849
304	0.5453140384
305	0.5452832427
306	0.545250292
307	0.54523006
308	0.5452079738
309	0.5451877955
310	0.5451579908
311	0.545118068
312	0.5450941625
313	0.5450796716
314	0.5450530829
315	0.5450277448
316	0.5449892011
317	0.5449491733
318	0.5449339692
319	0.5448818043
320	0.5448554596
321	0.5448221909
322	0.5448003939
323	0.5447769527
324	0.5447316235
325	0.5446827084
326	0.5446232179
327	0.5445987375
328	0.5445756325
329	0.5445351556
330	0.5444984068
331	0.544465086
332	0.5444199325
333	0.5443993851
334	0.5443756359
335	0.5443353052
336	0.5442907787
337	0.5442536224
338	0.5442290079
339	0.5441950858
340	0.5441635864
341	0.5441089567
342	0.5440714909
343	0.5440249871
344	0.544016995
345	0.5439902893
346	0.543940301
347	0.5438976989
348	0.5438477192
349	0.543805958
350	0.543748657
351	0.5437028182
352	0.5436385095
353	0.543598147
354	0.5435633377
355	0.5435158518
356	0.5434578449
357	0.5434164052
358	0.5433515338
359	0.5433220696
360	0.5432773412
361	0.5432367353
362	0.5431991734
363	0.5431796995
364	0.5431439759
365	0.5431171193
366	0.5430517196
367	0.5430195432
368	0.5429690076
369	0.5429294396
370	0.5428740614
371	0.542832655
372	0.5427783538
373	0.5427180641
374	0.5426738207
375	0.5426279899
376	0.5425799812
377	0.5425255983
378	0.5424577392
379	0.5424089551
380	0.5423732529
381	0.5423338738
382	0.5422680892
383	0.5422491947
384	0.5422298556
385	0.5421863679
386	0.5421372027
387	0.5420801454
388	0.5420306756
389	0.5419955685
390	0.5419314459
391	0.541924412
392	0.5419042212
393	0.5418486488
394	0.5418023563
395	0.5417514947
396	0.5417295508
397	0.5416884597
398	0.5416246532
399	0.541586502
400	0.5415566094
401	0.5415072936
402	0.541450379
403	0.5414233594
404	0.5413902296
405	0.5413233668
406	0.5412800352
407	0.5412225499
408	0.5411687839
409	0.5411028383
410	0.5410728078
411	0.541036529
412	0.5410147365
413	0.5409622435
414	0.5409505063
415	0.5409109581
416	0.5408575037
417	0.5408359572
418	0.5408010281
419	0.5407675325
420	0.540724655
421	0.5406865638
422	0.5406273496
423	0.540590067
424	0.5405743054
425	0.5405374475
426	0.5404847744
427	0.5404367122
428	0.5403785593
429	0.5403258307
430	0.5402845829
431	0.5402021969
432	0.5401611883
433	0.5401351677
434	0.540070794
435	0.540061661
436	0.5400533453
437	0.5399983689
438	0.5399645494
439	0.5399231489
440	0.5398890477
441	0.5398519156
442	0.5397993023
443	0.5397754143
444	0.5397111481
445	0.5397042919
446	0.5396519347
447	0.5395983721
448	0.5395889715
449	0.539550626
450	0.53950531
451	0.5394848064
452	0.5394444302
453	0.5393985496
454	0.5393402052
455	0.5393270843
456	0.5392851791
457	0.5392410393
458	0.5392244727
459	0.5391476603
460	0.5391044251
461	0.5390523552
462	0.5390139561
463	0.5389781299
464	0.5389713771
465	0.5389370409
466	0.5388860797
467	0.5388238668
468	0.5388041201
469	0.5387650458
470	0.5386988476
471	0.5386747951
472	0.5386518505
473	0.5386123571
474	0.5385480998
475	0.5384924939
476	0.5384675285
477	0.5384560617
478	0.5384180891
479	0.5383855928
480	0.5383456637
481	0.53831752
482	0.538291796
483	0.5382403264
484	0.538202508
485	0.5381910244
486	0.538154651
487	0.5381111946
488	0.5380959238
489	0.5380725938
490	0.5380332148
491	0.5379880925
492	0.5379743575
493	0.5379387487
494	0.5378976545
495	0.5378881343
496	0.5378414224
497	0.537801627
498	0.537784697
499	0.5377705408
500	0.5377364498
501	0.5376676245
502	0.5376154061
503	0.5375989268
504	0.5375624644
505	0.5375258445
506	0.5374820662
507	0.5374334194
508	0.5373704435
509	0.5373353626
510	0.537297128
511	0.5372448367
512	0.5371998349
513	0.5371471929
514	0.5371152537
515	0.5370934443
516	0.5370363625
517	0.5370157386
518	0.5369753722
519	0.5369588245
520	0.5369055436
521	0.5368669376
522	0.5368492533
